RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:APP,MEASURED ROUNDS
119,2,39971,Sungjae Im,-0.232,-3.718,16
120,0,35506,Mackenzie Hughes,-0.237,-6.151,26
121,0,33448,Justin Thomas,-0.238,-3.333,14
122,1,52375,Doug Ghim,-0.251,-5.018,20
123,-20,54591,Ben Griffin,-0.258,-8.245,32
124,0,51977,Max Greyserman,-0.273,-5.743,21
125,7,28089,Jason Day,-0.294,-7.339,25
126,0,63343,Aldrich Potgieter,-0.306,-7.353,24
127,-2,59440,Ricky Castillo,-0.309,-8.965,29
128,0,57586,Jesper Svensson,-0.323,-3.873,12
129,0,32070,Rafael Campos,-0.328,-4.919,15
130,0,34371,Adrien Saddier,-0.332,-6.969,21
131,7,47347,Adam Schenk,-0.353,-10.585,30
132,1,39335,Kevin Roy,-0.359,-10.779,30
133,1,63807,Neal Shipley,-0.364,-5.828,16
134,3,35461,Beau Hossler,-0.382,-6.876,18
135,6,33141,Keegan Bradley,-0.403,-10.065,25
136,-14,52215,Robert MacIntyre,-0.410,-12.293,30
137,-1,51003,Marco Penge,-0.427,-11.517,27
138,1,55851,Pontus Nyholm,-0.443,-7.970,18
139,1,27064,Jhonattan Vegas,-0.451,-11.715,26
140,2,59006,Davis Chatfield,-0.503,-8.555,17
141,2,50188,S.H. Kim,-0.524,-14.160,27
142,2,47995,Davis Riley,-0.525,-9.969,19
143,2,49855,Kristoffer Reitan,-0.532,-13.309,25
144,2,29535,Brice Garnett,-0.539,-9.708,18
145,2,51894,Vince Whaley,-0.570,-13.682,24
146,2,48867,Matti Schmid,-0.603,-19.299,32
147,3,49120,Kensei Hirata,-0.684,-15.042,22
148,3,54576,Patrick Fishburn,-0.691,-9.674,14
149,3,48153,Matthieu Pavon,-0.718,-19.384,27
150,9,54421,Garrick Higgo,-0.726,-19.610,27
151,3,49947,Taylor Moore,-0.804,-20.094,25
152,3,34466,Peter Malnati,-0.808,-14.551,18
153,0,46443,Brian Campbell,-0.822,-19.726,24
154,3,47917,Takumi Kanaya,-0.919,-27.556,30
155,3,57900,Chandler Phillips,-0.937,-25.293,27
156,4,40006,Erik van Rooyen,-1.051,-21.028,20
157,4,45157,Cam Davis,-1.058,-16.925,16
158,4,38991,Alejandro Tosti,-1.067,-17.067,16
159,4,51600,Jimmy Stanger,-1.089,-16.330,15
160,4,54422,Christo Lamprecht,-1.280,-20.486,16
161,4,40162,Justin Lower,-1.345,-18.831,14
162,4,64442,Gordon Sargent,-1.951,-27.307,14
