PLAYER_ID,PLAYER,BIRDIE_AVG,BIRDIE_# OF BIRDIES,BIRDIE_TOTAL ROUNDS,DRIVING_AVG,DRIVING_TOTAL DISTANCE,DRIVING_TOTAL DRIVES,FAIRWAY_%,FAIRWAY_FAIRWAYS HIT,FAIRWAY_POSSIBLE FAIRWAYS,GREENS_%,GREENS_GREENS HIT,GREENS_# HOLES,GREENS_RELATIVE/PAR,PAR5_AVG,PAR5_TOTAL STROKES,PAR5_TOTAL HOLES,PAR4_AVG,PAR4_TOTAL STROKES,PAR4_TOTAL HOLES,PAR3_AVG,PAR3_TOTAL STROKES,PAR3_TOTAL HOLES,SCRAMBLE_%,SCRAMBLE_PAR OR BETTER,SCRAMBLE_MISSED GIR,STROKES_AVG,STROKES_TOTAL STROKES,STROKES_TOTAL ADJUSTMENT,STROKES_TOTAL ROUNDS,THREE_PUTT_%,THREE_PUTT_TOTAL,THREE_PUTT_TOTAL_HOLES,APPROACH_SG_AVG,APPROACH_SG_TOTAL,APPROACH_MEASURED_ROUNDS,PROXIMITY_AVG,PROXIMITY_TOTAL_DIST_FT,PROXIMITY_ATTEMPTS,PROXIMITY_GIR_RANK,SG_PUTTING_AVG,SG_PUTTING_TOTAL,SG_PUTTING_MEASURED_ROUNDS,SG_OTT_AVG,SG_OTT_TOTAL,SG_OTT_MEASURED_ROUNDS,SG_ATG_AVG,SG_ATG_TOTAL,SG_ATG_MEASURED_ROUNDS
51696,Rico Hoey,3.57,132,37,306.4,22677,74,56.86%,290,510,63.66%,424,666,-0.29,4.57,585,128,4.07,1554,382,3.13,489,156,60.74%,147,242,71.727,2628.0,25.883,37.0,3.30%,22.0,666.0,0.004,0.162,36.0,"40' 0""",25752.083,644.0,114,-0.328,-11.815,36.0,0.255,9.173,36.0,-0.416,-14.987,36.0
52215,Robert MacIntyre,4.64,130,28,302.9,16965,56,61.22%,240,392,66.47%,335,504,-0.36,4.53,453,100,3.9,1139,292,3.0,336,112,72.78%,123,169,70.09,1928.0,34.509,28.0,2.12%,13.0,612.0,-0.41,-12.293,30.0,"40' 5""",21598.917,534.0,94,0.832,24.945,30.0,0.613,18.387,30.0,0.181,5.443,30.0
28237,Rory McIlroy,4.64,65,14,315.5,8835,28,60.20%,118,196,71.03%,179,252,-0.37,4.38,228,52,3.94,567,144,3.05,171,56,67.12%,49,73,69.929,966.0,13.003,14.0,2.16%,7.0,324.0,0.748,10.476,14.0,"34' 6""",8528.417,247.0,12,-0.148,-2.071,14.0,0.799,11.18,14.0,0.386,5.398,14.0
34098,Russell Henley,4.5,108,24,294.2,14121,48,68.45%,230,336,66.90%,289,432,-0.34,4.48,385,86,3.96,990,250,2.96,284,96,71.33%,102,143,70.335,1659.0,29.034,24.0,2.08%,12.0,576.0,0.131,3.413,26.0,"35' 8""",16641.083,467.0,57,0.518,13.48,26.0,0.192,5.005,26.0,0.244,6.356,26.0
29936,Ryan Fox,4.28,77,18,312.6,11255,36,54.40%,136,250,64.20%,208,324,-0.34,4.65,288,62,3.94,741,188,3.0,222,74,65.52%,76,116,70.656,1251.0,20.8,18.0,2.31%,10.0,432.0,0.01,0.227,22.0,"36' 8""",14379.667,392.0,109,0.231,5.09,22.0,0.264,5.799,22.0,0.193,4.245,22.0
59018,Ryan Gerard,4.53,145,32,301.9,19319,64,62.78%,280,446,71.53%,412,576,-0.34,4.45,490,110,3.96,1331,336,3.01,391,130,60.37%,99,164,70.231,2212.0,35.403,32.0,1.81%,13.0,720.0,0.665,21.937,33.0,"35' 7""",20920.25,588.0,T15,0.145,4.794,33.0,0.3,9.888,33.0,-0.249,-8.201,33.0
51287,Ryo Hisatsune,4.5,171,38,303.0,23030,76,61.74%,326,528,72.37%,495,684,-0.31,4.51,632,140,3.96,1535,388,3.01,469,156,60.32%,114,189,70.362,2636.0,37.747,38.0,3.17%,24.0,756.0,0.483,18.854,39.0,"35' 4""",24581.0,696.0,2,-0.078,-3.025,39.0,0.482,18.801,39.0,0.151,5.882,39.0
50188,S.H. Kim,3.76,128,34,301.6,20508,68,58.51%,275,470,63.40%,388,612,-0.3,4.56,547,120,4.02,1407,350,3.04,432,142,66.07%,148,224,71.047,2386.0,29.592,34.0,1.80%,11.0,612.0,-0.524,-14.16,27.0,"40' 2""",19299.0,480.0,118,0.349,9.417,27.0,0.138,3.733,27.0,0.109,2.942,27.0
51634,Sahith Theegala,3.92,149,38,305.7,23233,76,56.84%,299,526,67.11%,459,684,-0.33,4.45,587,132,3.97,1565,394,3.03,478,158,67.56%,152,225,70.226,2630.0,38.576,38.0,2.38%,18.0,756.0,0.347,13.541,39.0,"38' 9""",26966.833,696.0,64,0.327,12.752,39.0,-0.167,-6.498,39.0,0.382,14.891,39.0
47504,Sam Burns,4.32,95,22,313.6,13799,44,55.26%,168,304,67.42%,267,396,-0.34,4.51,361,80,3.96,888,224,3.08,283,92,61.24%,79,129,70.84,1532.0,26.479,22.0,1.85%,10.0,540.0,0.059,1.424,24.0,"37' 5""",16009.417,428.0,48,0.733,17.585,24.0,0.152,3.647,24.0,-0.369,-8.852,24.0
37275,Sam Ryder,3.79,91,24,299.0,14354,48,54.88%,180,328,65.05%,281,432,-0.3,4.73,426,90,3.97,945,238,3.07,319,104,60.26%,91,151,71.39,1690.0,23.359,24.0,2.31%,10.0,432.0,0.497,9.435,19.0,"37' 9""",12821.917,340.0,89,0.484,9.199,19.0,-0.196,-3.732,19.0,-0.346,-6.568,19.0
55893,Sam Stevens,4.18,142,34,307.8,20933,68,62.50%,295,472,71.24%,436,612,-0.3,4.56,529,116,3.94,1404,356,3.05,427,140,61.93%,109,176,70.555,2360.0,38.86,34.0,1.85%,14.0,756.0,0.293,10.245,35.0,"37' 4""",23450.167,628.0,26,-0.165,-5.779,35.0,0.385,13.463,35.0,-0.047,-1.642,35.0
52666,Sami Valimaki,3.92,98,25,293.4,14671,50,61.43%,215,350,66.67%,300,450,-0.28,4.6,414,90,4.05,1054,260,2.99,299,100,65.33%,98,150,72.002,1767.0,33.038,25.0,2.33%,13.0,558.0,0.005,0.126,26.0,"35' 10""",16565.083,462.0,85,0.181,4.701,26.0,-0.343,-8.923,26.0,-0.196,-5.098,26.0
46046,Scottie Scheffler,5.38,129,24,309.9,14874,48,60.12%,202,336,71.30%,308,432,-0.4,4.36,384,88,3.9,967,248,3.01,289,96,64.52%,80,124,69.626,1640.0,31.013,24.0,1.56%,9.0,576.0,0.131,3.399,26.0,"39' 9""",18358.333,462.0,7,0.606,15.752,26.0,0.64,16.651,26.0,0.672,17.465,26.0
28252,Seamus Power,3.7,111,30,300.2,18012,60,60.87%,252,414,65.74%,355,540,-0.29,4.63,491,106,4.04,1245,308,2.98,376,126,63.78%,118,185,71.162,2112.0,22.869,30.0,2.04%,11.0,540.0,-0.142,-3.548,25.0,"38' 11""",17404.25,447.0,79,0.14,3.508,25.0,-0.158,-3.962,25.0,0.249,6.235,25.0
49960,Sepp Straka,4.28,107,25,301.6,15081,50,60.29%,211,350,66.22%,298,450,-0.35,4.5,414,92,4.03,1041,258,2.97,297,100,63.16%,96,152,71.291,1752.0,30.283,25.0,2.86%,17.0,594.0,0.538,14.521,27.0,"36' 6""",17656.333,484.0,72,0.047,1.26,27.0,0.138,3.727,27.0,0.055,1.494,27.0
33204,Shane Lowry,4.15,83,20,297.7,11907,40,62.68%,173,276,67.78%,244,360,-0.34,4.47,304,68,4.01,834,208,2.94,247,84,64.66%,75,116,70.255,1385.0,20.101,20.0,1.79%,9.0,504.0,0.32,7.681,24.0,"35' 2""",14988.417,426.0,39,0.39,9.367,24.0,0.179,4.289,24.0,-0.095,-2.284,24.0
