RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL 3 PUTTS,TOTAL HOLES (OVERALL)
124,15,27644,Brian Harman,3.15%,21,666
124,11,50095,Austin Smotherman,3.15%,17,540
127,3,51287,Ryo Hisatsune,3.17%,24,756
127,-4,63807,Neal Shipley,3.17%,12,378
129,-5,40162,Justin Lower,3.22%,11,342
130,12,51766,Wyndham Clark,3.24%,21,648
130,6,40098,Matt Fitzpatrick,3.24%,21,648
132,-7,32070,Rafael Campos,3.28%,13,396
133,-7,51696,Rico Hoey,3.30%,22,666
133,6,51997,Andrew Novak,3.30%,22,666
135,11,39324,J.J. Spaun,3.33%,18,540
135,-8,54607,Danny Walker,3.33%,21,630
137,-6,47995,Davis Riley,3.37%,17,504
137,8,47347,Adam Schenk,3.37%,20,594
139,4,61522,Michael Brennan,3.45%,23,666
140,-3,52375,Doug Ghim,3.50%,17,486
140,-3,55573,John VanDerLaan,3.50%,17,486
142,-1,29535,Brice Garnett,3.56%,16,450
143,7,39997,Corey Conners,3.59%,22,612
144,5,60067,Joe Highsmith,3.60%,24,666
145,-2,35296,Haotong Li,3.70%,20,540
146,1,57259,Dan Brown,3.86%,16,414
146,1,40115,Adam Svensson,3.86%,16,414
148,10,33141,Keegan Bradley,3.89%,21,540
149,2,36689,Brooks Koepka,3.94%,17,432
150,2,56781,Isaiah Salinda,3.97%,15,378
150,2,38991,Alejandro Tosti,3.97%,15,378
152,2,45242,Kevin Yu,4.00%,18,450
153,2,37338,Zecheng Dou,4.08%,25,612
154,2,57586,Jesper Svensson,4.09%,14,342
155,2,46414,Aaron Rai,4.17%,18,432
156,2,54783,Dylan Wu,4.49%,21,468
157,4,66743,Luke Clanton,4.76%,18,378
158,5,40250,Taylor Pendrith,5.05%,30,594
159,3,60019,Jackson Suber,5.29%,20,378
160,6,63454,Johnny Keefer,5.72%,35,612
161,4,63343,Aldrich Potgieter,5.75%,30,522
162,2,37076,Marcelo Rozo,6.35%,24,378
